pname,cname,effect,dosage,dprecaution,interaction,side_effect,storage
판콜에이내복액,동화약품(주),"이 약은 감기의 여러 증상(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화에 사용합니다.
","성인 1회 1병(30 mL)씩, 1일 3회 식후 30분에 복용합니다.
","이 약에 과민증 환자 및 경험자, 다른 해열진통제, 감기약 복용 시 천식 경험자, 만 3개월 미만의 영아, MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 영아 및 만 15세 미만의 어린이, 만 2세 미만의 소아, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 고령자, 몸이 약한 사람, 알레르기 체질, 알레르기 증상(발열, 발진, 관절통, 천식, 가려움증 등) 경험자, 간장질환, 신장질환, 심장질환, 갑상선질환, 당뇨병, 고혈압, 위십이지장궤양, 녹내장(눈의 통증, 눈이 침침함 등), 배뇨곤란, 고열, 속쓰림, 위부불쾌감, 위통과 같은 위장문제, 궤양, 출혈문제, 흡연, 천식, 만성 기관지염, 폐기종, 과도한 가래가 동반되는 기침, 1주 이상 지속 또는 재발되는 기침, 만성 기침, 발열·발진이나 지속적인 두통이 동반되는 기침 환자는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

장기간 계속하여 복용하지 마십시오.

복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.

5~6회 복용하여도 증상이 좋아지지 않을 경우 의사 또는 약사와 상의하십시오.
","아세트아미노펜을 포함하는 다른 제품, MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등), 진해거담제, 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염용 경구제, 멀미약, 알레르기용약)과 함께 복용하지 마십시오.

당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제, 바르비탈계 약물, 삼환계 항우울제, 알코올과 함께 복용 시 의사 또는 약사와 상의하십시오.

복용 중에는 음주하지 마십시오.
","발진, 발적, 가려움, 구역, 구토, 식욕부진, 변비, 부종, 배뇨곤란, 목마름(지속적이거나 심한), 어지러움, 쇽 증상(복용 후 바로 두드러기, 부종, 가슴답답함 등과 함께 안색이 창백하고, 손발이 차고, 식은땀, 숨쉬기 곤란함), 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(고열을 동반하고, 발진·발적, 화상과 같이 물집이 생기는 심한 증상이 전신피부, 입 또는 눈점막에 나타남), 천식, 전신의 나른함, 황달, 간질성폐렴(기침을 동반하고, 숨이 차고, 호흡곤란, 발열) 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
코푸시럽에스,(주)유한양행,"이 약은 기침, 가래에 사용합니다.
","성인은 1회 20 mL씩, 11세 이상~15세 미만은 1회 13 mL씩, 8세 이상~11세 미만은 1회 10 mL씩, 5세 이상~8세 미만은 1회 7 mL씩, 3세 이상~5세 미만은 1회 5 mL씩, 2세 이상~3세 미만은 1회 4 mL씩, 1일 3~4회 식후 및 취침 시에 복용합니다.
","이 약에 과민증 환자 또는 경험자, 3개월 미만의 영아 및 만 2세 미만의 소아는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 알레르기를 일으키기 쉬운 체질인 사람, 카라멜 과민증 환자 또는 경험자, 간장질환, 신장질환, 갑상샘질환, 당뇨병, 고열, 허약자, 심장질환 및 고혈압, 고령자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 녹내장, 배뇨장애, 흡연, 천식, 만성 기관지염, 폐기종, 과도한 가래가 동반되는 기침, 1주 이상 지속 또는 재발되는 기침, 만성 기침, 발열·발진이나 지속적인 두통이 동반되는 기침 환자, 꼭 필요한 경우의 만 2세 미만 소아는 의사 또는 약사와 상의하십시오.

5~6회 복용하여도 증상이 좋아지지 않을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.

복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.
","MAO 억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등), 다른 진해거담제, 감기약, 항히스타민제, 진정제, 알코올과 함께 복용하지 마십시오.

MAO 억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등) 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오.

복용 중에는 음주하지 마십시오.
","발진, 발적, 가려움, 구역, 구토, 식욕부진, 어지럼, 배뇨곤란, 목마름(지속적이거나 심한), 불안, 떨림, 불면 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
포스테리산연고,동화약품(주),이 약은 치질에 사용합니다.,"1일 2회, 가능한 한 배변 후 적량을 환부(질환 부위)에 바릅니다.","이 약에 과민증 환자는 이 약을 사용하지 마십시오.재발을 방지하기 위하여 염증 및 가려움, 수포, 작열감(화끈감) 등의 증상이 소실되더라도 장기간 계속하여 바르십시오.이 약은 항문 부위에만 사용하고 안과용으로는 사용하지 마십시오.",,"가벼운 정도의 소양감(가려움), 통증, 출혈이 나타날 수 있습니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
로와치넥스캡슐,(주)한국팜비오,"이 약은 신증, 요로결석증의 보조요법에 사용합니다.",성인은 1회 1캡슐 1일 3~4회 복용합니다.,"임신 초기 3개월 여성은 이 약을 복용하지 마십시오.이 약을 복용하기 전에 이 약에 발진, 발적, 가려움 등 경험자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.",,"구역, 구토 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
아로나민골드정,일동제약(주),"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기(간유, 비타민 D, E 함유시)의 비타민 B1, B2, B6, E, C의 보급과 신경통, 근육통, 관절통(요통, 어깨결림 등) 증상의 완화, 각기, 눈의 피로에 사용합니다.
","성인은 1회 1정씩, 1일 2회 복용합니다.
","이 약에 과민증 환자, 만 3개월 미만의 젖먹이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 고옥살산뇨증(뇨중에 과량의 수산염이 배설되는 상태), 임부 및 임신하고 있을 가능성이 있는 여성, 수유부, 미숙아, 유아, 통풍 또는 신장결석, 폴산이 부족한 환자, 혈전성 소인이 있는 환자, 황색5호에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

각종 요검사 시에 혈당의 검출을 방해할 수 있으며, 요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.

 
","레보도파와 함께 복용하지 마십시오.

에스트로겐을 포함한 경구용 피임제와 함께 복용 시 의사 또는 약사와 상의하십시오.
","위부불쾌감, 설사, 변비, 발진, 발적, 구역, 구토, 묽은 변, 구내염(입안염), 식욕부진, 복부팽만감, 생리가 예정보다 빨라지거나 양이 점점 많아질 수 있으며, 출혈이 오래 지속되는 증상이 나타나는 경우 즉각 복용을 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
대웅우루사연질캡슐,(주)대웅제약,"이 약은 만성 간질환의 간기능 개선과 간기능 장애에 의한 육체피로, 전신권태 증상의 개선에 사용합니다.
","성인은 1회 1캡슐씩, 1일 3회 복용합니다.
","이 약에 과민증 환자, 심한 담도폐쇄, 전격성 간염, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 소아, 크론병과 같은 대장 및 소장염, 방사선 비투과성 석회화된 담석, 비기능성 담낭(쓸개), 급성 담낭(쓸개)염, 신질환, 소화성궤양(급성 위ㆍ십이지장 궤양) 환자, 대두유·콩·땅콩 과민증 또는 알레르기 반응 경험자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 심한 췌장(이자)질환, 담석증, 고지단백혈증, 당뇨병성고지질혈증 및 췌장염 등 지방대사 이상 환자 또는 지질성 유제를 신중히 투여해야 하는 환자, 황색4호·황색5호 과민증 또는 알레르기 반응 경험자, 지방과부하로 특별한 위험이 예상되는 환자는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.
","경구용 당뇨병용제(톨부타미드), 콜레스티라민, 콜레스티폴, 약용탄, 마그네슘 및 수산화알루미늄을 함유하는 제산제, 간에서 콜레스테롤 분비를 증가시키는 약물(예: 에스트로겐 함유 경구용 피임제, 클로피브레이트와 같은 지질감소약물, 간에 손상을 주는 약물과 함께 복용하지 마십시오.
","설사, 구역, 구토, 배 아픔, 변비, 가슴앓이, 위부불쾌감, 가려움, 발진, 전신권태감, 어지럼, 담석의 석회화, 간효소치의 증가, 백혈구 감소, 간질성폐렴(발열, 기침, 호흡곤란, 흉부 X선 이상을 동반) 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상담하십시오.
","어린이의 손이 닿지 않는 곳에 보관하십시오.
"
액티피드정,삼일제약(주),"이 약은 코감기, 알레르기 및 혈관운동성 코염에 의한 재채기, 콧물, 코막힘, 눈물의 완화에 사용합니다.","성인은 1회 1정, 소아(12~14세)는 1회 1/2정을 1일 3회 매 식후에 복용합니다.","이 약에 과민증 환자, 중증(심한 증상)의 간 및 신기능 장애, 중증(심한 증상)의 관상심장질환, 배뇨장애, 고혈압, 관상동맥질환, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부, 2세 이하의 영아, MAO 억제제를 투여중인 환자, 파라옥시안식향산메틸에 과민증 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 천식, 녹내장, 부정맥, 당뇨병, 갑상샘기능항진증, 12세 미만의 소아는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.장기간 계속하여 복용하지 마십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.복용 후 운전 및 기계조작 시 주의하십시오.","혈압강하제, 알코올, 중추신경억제제(수면제, 진정제, 안정제), MAO 억제제, 교감신경흥분제, 삼환계 항우울약, 구아네티딘, 브레틸리움, 베타나이드, 데브리소퀸, 메칠도파, 교감신경성약(충혈제거제, 식욕억제제, 암페타민류의 신경자극제), α 및 β 아드레날린 저해제(억제제)와 함께 복용하지 마십시오.","급성전신발진농포증, 중증 피부이상반응(발열, 홍반, 다수의 작은 농포 등), 고열, 진정, 졸음, 중추 신경 쇠약, 중추 흥분, 불안, 발한(땀이 남), 경미한(가벼운) 혈압강하, 시력장애, 산동(동공확대), 헛소리, 환각, 흥분, 근육경련, 경직(굳음), 아테토시스, 간대상 및 강직성 경련, 고열, 호흡마비, 혼수, 순환기 마비, 피부반응, 일시적인 자극통, 작열감(화끈감), 구갈, 구역, 구토, 배뇨(소변을 눔)곤란, 흥분, 허혈성대장염 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
태극아즈렌에스연고(구아야줄렌),태극제약(주),"이 약은 습진, 열상(화상), 그 외의 질환에 따른 미란 및 궤양에 사용합니다.",1일 수회(여러 차례) 환부에 도포합니다.,이 약에 과민증 환자는 이 약을 사용하지 마십시오.이 약을 사용하기 전에 프로필렌글리콜에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.안과용으로 사용하지 마십시오.,,"열감, 소양감, 따끔 따끔감 등의 피부 자극증상이 나타날 수 있습니다.",습기와 빛을 피해 실온에서 보관하십시오.
보나링에이정(디멘히드리네이트),일양약품(주),"이 약은 멀미·메니에르증후군·방사선숙취에 의한 구역·구토·어지러움, 수술후 구역·구토에 사용합니다.","성인은 1회 1정(50 mg) 1일 3~4회 복용합니다.예방목적으로는 30분~1시간전에 1~2정(50~100 mg)을 복용합니다.윈칙적으로 1일 4정(200 mg)을 초과하지 않습니다.연령, 증상에 따라 적절히 증감합니다.","이 약 또는 염산메클리진, 염산부클리진에 과민증 환자, 전립선(전립샘)비대 등 배뇨(소변을 눔)장애, 협우각형 녹내장, 간질, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 소아, 갑상선기능항진증 또는 급성 신염(신장염), 마취시행전 환자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 고령자는 의사 또는 약사와 상의하십시오.이 약 복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.","MAO 억제제를 함께 복용하지 마십시오.바르비탈계 약물, 마취제 등의 중추신경억제제, 아미노글리코사이드계 항생물질(스트렙토마이신, 카나마이신 등), 아트로핀 및 아트로핀계 약물을 함께 사용 시 의사 또는 약사와 상의하십시오.복용 중에는 음주하지 마십시오.","발진, 광과민증 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.졸음, 두통, 두중감(머리무거움), 수족(발)마비, 손가락진전(떨림), 어지러움, 시력 불선명 등의 시각장애, 불면, 지각이상, 때때로 가슴쓰림, 위통, 배뇨(소변을 눔)장애, 구갈, 피로감이 나타날 수 있습니다.",실온에서 보관하십시오.
쎄레스톤지크림,(주)유한양행,"이 약은 2차 감염된 알레르기성 또는 염증성 피부질환 (습진, 접촉피부염, 지루피부염, 아토피피부염, 광피부염, 만성단순태선, 간찰진(피부스침증), 박탈피부염, 가려움, 건선(마른비늘증)), 1도 화상에 사용합니다.
","1일 1~3회 환부(질환 부위)에 적당량을 바릅니다.
","이 약에 과민증 환자, 스트렙토마이신, 카나마이신, 겐타마이신, 네오마이신 등 아미노글리코사이드계 항생물질 또는 바시트라신에 과민증 또는 경험자, 피부감염증(결핵, 매독, 칸디다증, 백선, 대상포진(물집), 단순포진(물집), 수두, 종두증, 옴, 사면발이), 고막천공(뚫림)이 있는 습진성 외이도(바깥귀길)염, 궤양(베체트병 제외), 제2도 심재성(드러나지 않는) 이상의 화상 및 동상, 입주위피부염, 보통여드름, 주사(딸기코) 환자는 이 약을 사용하지 마십시오.

이 약을 사용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 유ㆍ소아는 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.

안(눈)과용으로 사용하지 마십시오.

화장이나 면도 후 치료 이외의 목적으로 사용하지 마십시오.

의사의 감독 없이 밀봉붕대법을 사용하지 마십시오.
",,"전염성 농가진(고름딱지증), 모낭염, 바이러스성 감염, 부스럼, 피부자극, 자통(찌름 통증), 발열, 작열감(화끈감), 가려움, 발진, 발적(충혈되어 붉어짐), 홍조, 부종, 구진, 소수포(물집), 피부건조, 농포(고름물집)성피부염, 땀띠, 상처 악화, 욕창, 농포(고름물집)증, 과민증, 피부변색, 다모(털과다)증, 여드름상발진, 색소침착저하증, 입주위피부염, 알레르기성접촉피부염, 피부짓무름, 2차감염, 피부위축, 줄무늬, 안검피부에 사용 시 안압 상승, 녹내장(시야흐림) 등이 나타나는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
